"","jurisdiction","year","state_population","murder_index","rape_index","robbery_index","agg_assault_index","total_violent_index","burglary_index","larceny_index","vehicle_theft_index","property_crime_index","crime_rate"
"14","ILLINOIS",2001,12520227,7.84330827228612,32.0281732911073,199.12578262359,394.138221295828,633.135485482811,632.240933011838,2450.09136016464,389.234156856741,3471.56645003321,4104.70193551603
"15","INDIANA",2001,6126743,6.74093886425463,28.0083561526899,117.044243572809,219.268214775779,371.061753365532,697.891196023727,2404.06689165842,350.904224316248,3452.8623119984,3823.92406536393
"16","IOWA",2001,2931967,1.70533979406999,22.1353105270284,39.3592424471353,205.050056838975,268.249949607209,575.893248457435,2259.37058636745,187.757911327106,3023.02174615199,3291.2716957592
"17","KANSAS",2001,2702125,3.40472776055882,34.9724753666096,89.6701669981959,275.671924873942,403.719294999306,759.180274783735,2851.01540454272,295.508164870241,3905.7038441967,4309.423139196
"18","KENTUCKY",2001,4068816,4.44846854711543,25.8306101824216,80.3427827653057,147.684240329373,258.306101824216,662.698927648731,1755.9899489188,219.818246880665,2638.5071234482,2896.81322527241
"19","LOUISIANA",2001,4470368,11.2071310460347,31.3844408335063,175.913929233566,467.746726891388,686.252228004495,1039.0867150087,3121.77878868138,485.127846298112,4645.99334998819,5332.24557799268
"20","MAINE",2001,1284470,1.47920932368993,25.3801178696272,20.55322428706,64.3066790193621,111.719230499739,537.030837621743,1914.01901173247,130.092567362414,2581.14241671662,2692.86164721636
"21","MARYLAND",2001,5386079,8.28060635575527,26.9026874652228,251.110316057377,495.128274204667,781.421884083022,771.488869732509,2709.46638547262,594.588382383548,4075.54363758868,4856.9655216717
"22","MASSACHUSETTS",2001,6401164,2.23396869694324,28.9947265841025,101.169099869961,345.405929296609,477.803724447616,506.6266072858,1668.7746166166,434.733432856899,2610.1346567593,3087.93838120692
"23","MICHIGAN",2001,10006266,6.71579188480498,52.6070364309724,129.28898752042,365.281114853433,553.89293068963,719.928892555924,2265.66033723269,535.734308882055,3521.32353867067,4075.2164693603
"24","MINNESOTA",2001,4984535,2.38738417926647,44.8587481078977,75.3931911401966,141.076349147914,263.715672575275,511.502075920823,2498.10664384943,301.55270250886,3311.16142227911,3574.87709485438
"25","MISSISSIPPI",2001,2859733,9.86106045564394,40.1086395128496,115.185578513798,184.737526195627,349.892804677919,1042.7896590346,2458.79597850569,331.254701050762,3832.84033859105,4182.73314326897
"26","MISSOURI",2001,5637309,6.59889319531713,24.5329819600096,137.849459733359,371.56026040084,540.541595289526,762.367292621355,2969.85671709676,496.939231111866,4229.16324082998,4769.7048361195
"27","MONTANA",2001,905382,3.75532095844627,20.7647158878794,25.4036417777248,302.082435922075,352.006114546125,405.353762279347,2726.36301583199,201.130572509725,3332.84735062106,3684.85346516719
"28","NEBRASKA",2001,1720039,2.49994331523878,25.0575713690213,65.5799083625429,209.995238480058,303.132661526861,567.42899434257,3064.63981339958,377.317025951156,4009.38583369331,4312.51849522017
"29","NEVADA",2001,2097722,8.58073662763703,42.0932802344639,235.112183597255,303.376710546011,589.162911005367,844.296813400441,2148.66412231935,700.855499441775,3693.81643516157,4282.97934616694
"30","NEW HAMPSHIRE",2001,1259359,1.34989308052747,36.3677076989167,35.3354365196898,97.1923017979782,170.245339097112,388.213368864637,1592.87383502242,169.927717195812,2151.01492108287,2321.26026017998
"31","NEW JERSEY",2001,8511116,3.94777841119778,15.015657171163,165.783194589288,204.086044650314,388.832674821962,550.010127931519,1833.26134904048,443.044131932875,2826.31560890487,3215.14828372683
